Status,Cidade,UF,Layout de integração,Padrão,Documentação do padrão,Código IBGE,Dados obrigatórios das notas tomadas,Notas tomadas,Login,Senha,Múltiplos serviços,Certificado
Operante,Abadiânia,GO,WebService,ARRECADANET,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360038729374,5200100,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Abaeté,MG,WebService,ISSLEGAL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4405690416663-Documentacao-Tecnica-Padrao-ISSLEGAL,3100203,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Obrigatório,Indisponível,Obrigatório
Operante,Abaetetuba,PA,WebService,DESENVOLVE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360035546814,1500107,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Abdon Batista,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200051,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Abelardo Luz,SC,WebService,PUBLICA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019701173,4200101,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Abreu e Lima,PE,Upload,TRIBUTUS,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4409041247511,2600054,Consulta não disponível,Indisponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Açailândia,MA,WebService,SIGISS,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008970513,2100055,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Acaraú,CE,WebService,INTERSOL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008818054,2300200,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Não necessário
Operante,Acreúna,GO,WebService,ISSWEB,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360010785654,5200134,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Açu,RN,WebService,PUBLICA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019701173,2400208,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Adamantina,SP,WebService,NACIONAL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/13422129921943-NFSe-Padr%C3%A3o-Nacional-o-que-preciso-saber,3500105,Consulta Distribuição Dfe (por NSU),Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Adrianópolis,PR,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4100202,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Afogados da Ingazeira,PE,Upload,COLUMBIAUP,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360061584293,2600104,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Não necessário
Operante,Afonso Cláudio,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200102,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Agrolândia,SC,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4200200,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Agronômica,SC,WebService,PUBLICA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019701173,4200309,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Água Boa,MT,WebService,COPLAN,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4407191133719,5100201,"Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Obrigatório,Indisponível,Obrigatório
Operante,Água Clara,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5000203,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Água Doce,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200408,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Água Doce do Norte,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200169,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Aguaí,SP,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,3500303,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Água Santa,RS,WebService,SINSOFT,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4409628034839,4300059,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Águas de Chapecó,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200507,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Águas de Lindóia,SP,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,3500501,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Águas de Santa Bárbara,SP,WebService,ISSMAPAPI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/1500006070561,3500550,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Águas Frias,SC,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4200556,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Águas Lindas de Goiás,GO,WebService,GINFES,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007952854,5200258,"Prestador - CNPJ, InscricaoMunicipal, Certificado",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
